symbol	header	line	url
ChannelSetIterator	ChannelSet.h	342	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ChannelSetIterator.html
Channel_KnobI	Channel_KnobI.h	19	
CoShaderMaterialInterface	ShaderOp.h	191	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1CoShaderMaterialInterface.html
CoShaderOp	ShaderOp.h	165	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1CoShaderOp.html
CodecHandler	CodecHandler.h	17	
CodecOp	CodecOp.h	24	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1CodecOp.html
CodecReaderFormat	Reader.h	43	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1CodecReaderFormat.html
CollisionResult	Raycast.h	41	
ColorKnobI	ColorKnobI.h	12	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ColorKnobI.html
ColorKnobs	GeomOpKnobs.h	102	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ColorKnobs.html
ColorKnobs::Binding	GeomOpKnobs.h	113	
ColorLookup	ColorLookup.h	42	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ColorLookup.html
ColoredShader	Material.h	135	
Colorspace_KnobI	Colorspace_KnobI.h	13	
ComplexLightOp	ComplexLightOp.h	17	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ComplexLightOp.html
ConstrainOpI	ConstrainOpI.h	22	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ConstrainOpI.html
ConstrainOpI::SubEngine	ConstrainOpI.h	64	
ControlPointCollectionInterface	ControlPointCollectionKnobI.h	19	
ControlPointCollection_KnobI	ControlPointCollectionKnobI.h	27	
ControlPointCollection_KnobI::ControlPoint	ControlPointCollectionKnobI.h	38	
ConvertibleToIop	ConvertibleToIop.h	16	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ConvertibleToIop.html
Convolve	Convolve.h	40	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Convolve.html
ConvolveArray	Convolve.h	17	
CreateOrEditGeomOp	CreateOrEditGeomOp.h	16	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1CreateOrEditGeomOp.html
CreateOrEditGeomOp::Engine	CreateOrEditGeomOp.h	43	
CreateParentsGeomOpI	GeomOpMixIns.h	61	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1CreateParentsGeomOpI.html
CreateParentsGeomOpI::SubEngine	GeomOpMixIns.h	71	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1CreateParentsGeomOpI_1_1SubEngine.html
CurveDescription	LookupCurves.h	29	
CurveI	CurveI.h	62	
CurveKnobI	CurveKnobI.h	16	
DeepAccumPixelOp	DeepAccumPixelOp.h	29	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepAccumPixelOp.html
DeepFilterOp	DeepFilterOp.h	20	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepFilterOp.html
DeepInPlaceOutputPlane	DeepPlane.h	319	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepInPlaceOutputPlane.html
DeepInfo	DeepInfo.h	20	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepInfo.html
DeepLightSample	DeepSample.h	110	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepLightSample.html
DeepOnlyOp	DeepOp.h	167	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepOnlyOp.html
DeepOp	DeepOp.h	37	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepOp.html
DeepOutPixel	DeepPlane.h	175	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepOutPixel.html
DeepOutputPixel	DeepPixel.h	192	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepOutputPixel.html
DeepOutputPlane	DeepPlane.h	263	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepOutputPlane.html
DeepPixel	DeepPixel.h	24	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepPixel.html
DeepPixelOp	DeepPixelOp.h	12	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepPixelOp.html
DeepPlane	DeepPlane.h	23	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepPlane.html
DeepReader	DeepReader.h	57	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepReader.html
DeepReader::Description	DeepReader.h	95	
DeepReaderFormat	DeepReader.h	26	
DeepReaderOwner	DeepReader.h	33	
DeepSample	DeepSample.h	22	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepSample.html
DeepSampleVector	DeepSample.h	230	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepSampleVector.html
DeepWriter	DeepWriter.h	40	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepWriter.html
DeepWriter::Description	DeepWriter.h	72	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepWriter_1_1Description.html
DeepWriterOwner	DeepWriter.h	16	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DeepWriterOwner.html
DefaultAllocator	STLAllocator.h	153	
DepthMapRender	DepthMapRender.h	20	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DepthMapRender.html
Description	Description.h	103	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Description.html
DirectGeneralTile	DirectGeneralTile.h	18	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DirectGeneralTile.html
DirectGeneralTile::LinePointers	DirectGeneralTile.h	55	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DirectGeneralTile_1_1LinePointers.html
DisplacementCoefficients	SubdivisionContext.h	21	
DownRez	DownRez.h	19	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DownRez.html
DrawIop	DrawIop.h	22	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1DrawIop.html
Draw_Handle_Callback	ViewerContext.h	108	
DrawableGeo	ViewerContext.h	123	
Dual2Chans	SlrShadingContext.h	239	
ElementI	ElementI.h	80	
ElementTransformI	ElementI.h	17	
EngineContext	EngineContext.h	18	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1EngineContext.html
Enumeration_KnobI	Enumeration_KnobI.h	17	
Executable	Executable.h	16	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Executable.html
Execute	Execute.h	42	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Execute.html
ExtendedOpProperties	ExtendedOpProperties.h	19	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ExtendedOpProperties.html
FileHandler	FileOp.h	16	
FileIop	FileIop.h	24	
FileOp	FileOp.h	56	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1FileOp.html
FileRead	FileRead.h	22	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1FileRead.html
FileReader	FileReader.h	26	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1FileReader.html
FileSet	FileSet.h	26	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1FileSet.html
FileSet::Dir	FileSet.h	28	
FileStreamRead	FileStream.h	21	
FileStreamWrite	FileStream.h	40	
FileWriter	FileWriter.h	25	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1FileWriter.html
File_KnobI	File_KnobI.h	14	
Filter	Filter.h	36	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Filter.html
Filter::Coefficients	Filter.h	64	
FilterPrimsGeomEngineI	GeomOpMixIns.h	133	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1FilterPrimsGeomEngineI.html
FlaggingKnob_Closure	FlaggingKnobClosure.h	25	
Format	Format.h	46	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Format.html
FormatPair	Format.h	149	
FrameExtentProviderI	FrameExtentProviderI.h	14	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1FrameExtentProviderI.html
FrameRangeControls	FrameRangeKnob.h	17	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1FrameRangeControls.html
GLCache	GlCacheApi.h	21	
GPUContext	GPUContext.h	22	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GPUContext.html
GeneralInfo	GeneralInfo.h	14	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeneralInfo.html
GeneralInfoProvider	GeneralInfo.h	64	
GeneralTile	GeneralTile.h	29	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeneralTile.html
GeoDescription	GeoReaderDescription.h	50	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeoDescription.html
GeoInfo	GeoInfo.h	266	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeoInfo.html
GeoInfo::Cache	GeoInfo.h	362	
GeoInfo::DrawLists	GeoInfo.h	336	
GeoInfo::FacePrimitiveMappingHelper	GeoInfo.h	274	
GeoInfoRenderState	GeoInfo.h	243	
GeoLight	GeoLight.h	18	
GeoLight::Engine	GeoLight.h	106	
GeoObjectSelection	GeoSelection.h	33	
GeoOp	GeoOp.h	45	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeoOp.html
GeoReader	GeoReader.h	32	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeoReader.html
GeoSelect_KnobI	GeoSelectKnobI.h	18	
GeoSelection	GeoSelection.h	71	
GeoSelection::ReadWriteHandle	GeoSelection.h	118	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeoSelection_1_1ReadWriteHandle.html
GeoWriter	GeoWriter.h	28	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeoWriter.html
GeoWriter::Description	GeoWriter.h	155	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeoWriter_1_1Description.html
Geo_KnobI	Geo_KnobI.h	17	
GeomOp	GeomOp.h	460	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeomOp.html
GeomOp::Description	GeomOp.h	471	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeomOp_1_1Description.html
GeomOp::TargetHash	GeomOp.h	934	
GeomOpEngine	GeomOp.h	70	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeomOpEngine.html
GeomOpEngine::Input	GeomOp.h	367	
GeomOpEngine::KnobBinding	GeomOp.h	75	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeomOpEngine_1_1KnobBinding.html
GeometryList	GeometryList.h	20	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeometryList.html
GeometryList::ObjectRange	GeometryList.h	123	
GeometryProviderI	GeometryProviderI.h	41	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1GeometryProviderI.html
GridCell	Raycast.h	164	
GridCellPointsIterator	Raycast.h	207	
GsvKnobI	GsvKnobI.h	16	
Guard	Thread.h	500	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Guard.html
HConvolve	HConvolve.h	32	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1HConvolve.html
Hash	Hash.h	36	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Hash.html
HeapAllocator	HeapAllocator.h	30	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1HeapAllocator.html
Histogram_Data	HistogramKnob.h	19	
IAllocator	IAllocator.h	30	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1IAllocator.html
IBufferFill	MemoryBuffer.h	60	
IBufferFillHeap	MemoryBuffer.h	106	
IDim	Knobs.h	323	
IOFStream	IOFStream.h	17	
IOStreamBuffer	IOStreamBuffer.h	16	
IRange	Knobs.h	1603	
IllumShader	IllumShader.h	27	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1IllumShader.html
ImageCacheReadI	ImageCache.h	37	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ImageCacheReadI.html
ImageCacheWriteI	ImageCache.h	80	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ImageCacheWriteI.html
ImagePlane	ImagePlane.h	40	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ImagePlane.html
ImagePlaneDescriptor	ImagePlaneDescriptor.h	16	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ImagePlaneDescriptor.html
Image_Cache	ImageCache.h	103	
Image_Cache_Entry	ImageCache.h	22	
ImageableAndModelKnobs	GeomOpKnobs.h	68	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ImageableAndModelKnobs.html
ImageableAndModelKnobs::Binding	GeomOpKnobs.h	78	
Info2D	Info2D.h	28	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Info2D.html
Info2DProvider	Info2D.h	160	
Interest	Interest.h	79	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Interest.html
InterestRatchet	Interest.h	36	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1InterestRatchet.html
Intersection	Render.h	41	
Iop	Iop.h	165	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Iop.html
Iop::PixelCallbackI	Iop.h	817	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Iop_1_1PixelCallbackI.html
Iop::TextureImage	Iop.h	940	
Iop::TextureImageInfo	Iop.h	863	
Iop::TextureImageInfo::UVTransform	Iop.h	871	
IopInfo	IopInfo.h	40	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1IopInfo.html
IopInfoOwner	Iop.h	42	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1IopInfoOwner.html
Knob	Knob.h	135	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Knob.html
Knob::HandleContext	Knob.h	1039	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Knob_1_1HandleContext.html
Knob::Indent	Knob.h	2011	
Knob::NotificationCallbackFunctor	Knob.h	701	
Knob::Script_List	Knob.h	1855	
Knob::VisibilityCallbackFunctor	Knob.h	714	
KnobChangeGroup	Knob.h	2095	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1KnobChangeGroup.html
KnobChangeGroup::Listener	Knob.h	2105	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1KnobChangeGroup_1_1Listener.html
KnobChangedObserverI	KnobChangedObserverI.h	14	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1KnobChangedObserverI.html
KnobStoreContext	Knobs.h	52	
KnobUndoGroup	Knob.h	2120	
Knob_Closure	Knobs.h	70	
LUT	LUT.h	45	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1LUT.html
LayerI	LayerI.h	17	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1LayerI.html
License	Description.h	65	
LightContext	LightContext.h	28	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1LightContext.html
LightOp	LightOp.h	31	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1LightOp.html
LightSceneOp	LightSceneOp.h	27	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1LightSceneOp.html
LightSceneOp::LightProvider	LightSceneOp.h	49	
LightTokensDef	SlrLightShader.h	20	
Linear	LUT.h	432	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Linear.html
LinkKnobI	LinkKnobI.h	15	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1LinkKnobI.html
LinkableI	LinkableI.h	51	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1LinkableI.html
LinkableKnobInfo	LinkableI.h	25	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1LinkableKnobInfo.html
List_KnobI	List_KnobI.h	15	
List_KnobI::Column	List_KnobI.h	36	
Lock	Thread.h	55	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Lock.html
LookAt	LookAt.h	25	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1LookAt.html
LookupCurves	LookupCurves.h	82	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1LookupCurves.html
LookupCurves::SKey	LookupCurves.h	87	
LookupCurves_KnobI	LookupCurves.h	194	
MBParticleSpriteGenerator	ParticlesSprite.h	214	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1MBParticleSpriteGenerator.html
MBSceneSpriteGenerator	ParticlesSprite.h	170	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1MBSceneSpriteGenerator.html
MaskKnobs	GeomOpKnobs.h	378	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1MaskKnobs.html
MaskKnobs::Binding	GeomOpKnobs.h	381	
Material	Material.h	39	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Material.html
MaterialBindingOpI	GeomOpMixIns.h	95	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1MaterialBindingOpI.html
MaterialBindingOpI::SubEngine	GeomOpMixIns.h	117	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1MaterialBindingOpI_1_1SubEngine.html
MaterialOpI	MaterialOpI.h	36	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1MaterialOpI.html
MaterialOpI::MaterialContext	MaterialOpI.h	65	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1MaterialOpI_1_1MaterialContext.html
Matrix3	Matrix3.h	30	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Matrix3.html
Matrix4	Matrix4.h	47	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Matrix4.html
MatrixArray	MatrixArray.h	96	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1MatrixArray.html
MatrixArray::MatrixEntry	MatrixArray.h	99	
MemHolderFactory	MemHolderFactory.h	15	
MemRegistrant	MemRegistrant.h	23	
Memory	Memory.h	95	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Memory.html
Memory::MemoryInfo	Memory.h	109	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Memory_1_1MemoryInfo.html
MemoryBuffer	MemoryBuffer.h	24	
MemoryBufferGuard	MemoryBuffer.h	129	
MemoryHolder	MemoryHolder.h	20	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1MemoryHolder.html
Menu	Menu.h	23	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Menu.html
MenuItemData	MenuItemData.h	14	
Mesh	Mesh.h	37	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1Mesh.html
MeshKnobs	GeomOpKnobs.h	135	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1MeshKnobs.html
MeshKnobs::Binding	GeomOpKnobs.h	164	
MeshKnobs::KnobParams	GeomOpKnobs.h	144	
MeshPrimFilterGeomEngineI	GeomOpMixIns.h	162	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1MeshPrimFilterGeomEngineI.html
MetaKeyFrameDelegate	MetaKeyFrameKnobI.h	17	
MetaKeyFrameOptions	MetaKeyFrameKnobI.h	39	
MetaKeyFrame_KnobI	MetaKeyFrameKnobI.h	61	
ModifyGeo	ModifyGeo.h	27	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ModifyGeo.html
ModifyGeomOp	ModifyGeomOp.h	26	
ModifyGeomOp::ModifyEngine	ModifyGeomOp.h	33	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ModifyGeomOp_1_1ModifyEngine.html
ModifyPathsGeomOpI	GeomOpMixIns.h	174	https://learn.foundry.com/nuke/developers/16.1/ndkreference/Plugins/classDD_1_1Image_1_1ModifyPathsGeomOpI.html
